id,external_id,amount,currency,status,failure_reason,payment_method,retry_count,checkout_duration,abandoned,lifetime_value,total_transactions,successful_payments,failed_payments,abandoned_checkouts,preferred_method,customer_segment,failure_history_ratio,success_history_ratio,abandonment_history_ratio,high_value_customer,high_amount,retry_pressure,simulated_recovery_probability,recovered,baseline_recovered,ai_strategy,strategy_multiplier,ai_recovery_probability,ai_recovered,baseline_recovered_amount,ai_recovered_amount,baseline_expected_recovery,ai_expected_recovery
cmtnymgfn00st3c6vmy8ddq0q,TXN-00000037,3499.0,INR,FAILED,NETWORK_ERROR,UPI,1,65,False,31157.0,8,7,1,3,WALLET,HIGH_VALUE,0.1111111111111111,0.7777777777777778,0.3333333333333333,0,0,0,0.5644444444444443,1,1,RETRY_PAYMENT,0.9,0.5079999999999999,1,3499.0,3499.0,1421.9935999999996,1777.4919999999997
cmtnymgth00sw3c6v1fcd8nvt,TXN-00000040,299.0,INR,ABANDONED,CARD_EXPIRED,CARD,0,342,True,11431.0,11,7,4,4,WALLET,REGULAR,0.3333333333333333,0.5833333333333334,0.3333333333333333,0,0,0,0.3825,1,0,SEND_EMAIL,0.82,0.31365,0,0.0,0.0,82.3446,93.78134999999999
cmtnymgxo00sx3c6v1s589ue0,TXN-00000041,499.0,INR,ABANDONED,BANK_DECLINE,UPI,0,561,True,30226.0,10,7,3,4,NETBANKING,REGULAR,0.2727272727272727,0.6363636363636364,0.36363636363636365,0,0,0,0.5218181818181817,1,0,SEND_WHATSAPP,1.05,0.5479090909090909,1,0.0,499.0,187.47883636363633,273.4066363636364
cmtnymh1v00sy3c6vyvdjhyft,TXN-00000042,24999.0,INR,FAILED,NETWORK_ERROR,CARD,3,587,False,7077.0,13,7,6,5,NETBANKING,NEW,0.42857142857142855,0.5,0.35714285714285715,0,1,1,0.325,1,0,RETRY_PAYMENT,0.9,0.29250000000000004,0,0.0,0.0,5849.766,7312.207500000001
cmtnymhar00t03c6vqrkvcy9a,TXN-00000044,1499.0,INR,ABANDONED,CARD_EXPIRED,WALLET,2,371,True,113464.0,29,26,3,5,NETBANKING,HIGH_VALUE,0.1,0.8666666666666667,0.16666666666666666,1,0,1,0.505,0,1,SEND_EMAIL,0.82,0.41409999999999997,1,1499.0,1499.0,545.0364,620.7358999999999
cmtnymbz300rx3c6vmkr0vi3k,TXN-00000005,7999.0,INR,FAILED,NETWORK_ERROR,WALLET,1,65,False,41238.0,26,18,8,0,CARD,REGULAR,0.2962962962962963,0.6666666666666666,0.0,0,1,0,0.5022222222222221,1,0,RETRY_PAYMENT,0.9,0.4519999999999999,0,0.0,0.0,2892.4383999999995,3615.5479999999993
cmtnymhoc00t33c6vndi2zori,TXN-00000047,2499.0,INR,FAILED,USER_ABANDONED,UPI,0,319,False,8120.0,7,2,5,5,CARD,AT_RISK,0.625,0.25,0.625,0,0,0,0.29624999999999996,1,0,RETRY_PAYMENT,0.9,0.26662499999999995,0,0.0,0.0,533.0366999999999,666.2958749999999
cmtnymi2v00t63c6v1pktvq3n,TXN-00000050,3499.0,INR,FAILED,CARD_EXPIRED,UPI,0,89,False,11459.0,18,7,11,0,CARD,AT_RISK,0.5789473684210527,0.3684210526315789,0.0,0,0,0,0.2752631578947368,0,0,SEND_EMAIL,0.82,0.22571578947368418,0,0.0,0.0,693.4649684210525,789.7795473684209
cmtnymib600t83c6vs10klcuz,TXN-00000052,24999.0,INR,ABANDONED,INSUFFICIENT_FUNDS,NETBANKING,3,503,True,3495.0,5,3,2,5,CARD,NEW,0.3333333333333333,0.5,0.8333333333333334,0,1,1,0.19166666666666665,1,0,STOP,0.0,0.0,0,0.0,0.0,3449.8619999999996,0.0
cmtnymin600tb3c6v3mi1lrgx,TXN-00000055,3499.0,INR,FAILED,INSUFFICIENT_FUNDS,CARD,1,278,False,12573.0,4,3,1,0,CARD,HIGH_VALUE,0.2,0.6,0.0,0,0,0,0.45,1,1,PAYMENT_LINK,1.12,0.5040000000000001,0,3499.0,0.0,1133.676,1763.4960000000003
cmtnymj3n00tf3c6v3fxjalt9,TXN-00000059,14999.0,INR,ABANDONED,USER_ABANDONED,CARD,0,40,True,102357.0,30,27,3,4,UPI,HIGH_VALUE,0.0967741935483871,0.8709677419354839,0.12903225806451613,1,1,0,0.6703225806451613,1,0,SEND_WHATSAPP,1.05,0.7038387096774193,0,0.0,0.0,7239.001238709677,10556.876806451613
cmtnymjbo00th3c6vihefumhk,TXN-00000061,499.0,INR,ABANDONED,NETWORK_ERROR,WALLET,2,294,True,105984.0,26,23,3,0,NETBANKING,HIGH_VALUE,0.1111111111111111,0.8518518518518519,0.0,1,0,1,0.7062962962962962,1,1,RETRY_PAYMENT,0.9,0.6356666666666666,1,499.0,499.0,253.75813333333332,317.19766666666663
cmtnymjfm00ti3c6vdl2w9avv,TXN-00000062,1999.0,INR,FAILED,NETWORK_ERROR,NETBANKING,0,162,False,53086.0,13,11,2,3,CARD,HIGH_VALUE,0.14285714285714285,0.7857142857142857,0.21428571428571427,1,0,0,0.6935714285714285,0,0,RETRY_PAYMENT,0.9,0.6242142857142857,1,0.0,1999.0,998.2434857142856,1247.8043571428573
cmtnymjrb00tl3c6v2rg1c2wb,TXN-00000065,1999.0,INR,ABANDONED,TIMEOUT,CARD,0,120,True,52184.0,13,11,2,5,WALLET,HIGH_VALUE,0.14285714285714285,0.7857142857142857,0.35714285714285715,1,0,0,0.7392857142857142,1,0,RETRY_PAYMENT,0.9,0.6653571428571428,1,0.0,1999.0,1064.0391428571427,1330.0489285714284
cmtnymjvn00tm3c6vqi7oab6k,TXN-00000066,24999.0,INR,FAILED,CARD_EXPIRED,NETBANKING,3,243,False,1024.0,3,1,2,1,UPI,NEW,0.5,0.25,0.25,0,1,1,0.07249999999999995,0,0,STOP,0.0,0.0,0,0.0,0.0,1304.947799999999,0.0
cmtnymk0700tn3c6vot9ef17x,TXN-00000067,14999.0,INR,FAILED,AUTHENTICATION_FAILED,NETBANKING,2,552,False,14201.0,28,11,17,3,CARD,AT_RISK,0.5862068965517241,0.3793103448275862,0.10344827586206896,0,1,1,0.16655172413793098,0,0,STOP,0.0,0.0,0,0.0,0.0,1798.6387034482752,0.0
cmtnymlbl00ty3c6vahoz3kp6,TXN-00000078,1999.0,INR,FAILED,INSUFFICIENT_FUNDS,NETBANKING,2,168,False,19536.0,5,4,1,4,WALLET,HIGH_VALUE,0.16666666666666666,0.6666666666666666,0.6666666666666666,0,0,1,0.3049999999999999,1,1,PAYMENT_LINK,1.12,0.3415999999999999,0,1999.0,0.0,438.9803999999998,682.8583999999998
cmtnymlfu00tz3c6vjp9b3a2a,TXN-00000079,3499.0,INR,FAILED,CARD_EXPIRED,CARD,1,285,False,13284.0,11,9,2,4,NETBANKING,HIGH_VALUE,0.16666666666666666,0.75,0.3333333333333333,0,0,0,0.35916666666666663,0,0,SEND_EMAIL,0.82,0.29451666666666665,0,0.0,0.0,904.8413999999998,1030.5138166666666
cmtnymljx00u03c6v4wg8dntf,TXN-00000080,299.0,INR,FAILED,BANK_DECLINE,WALLET,0,199,False,97965.0,30,21,9,3,WALLET,REGULAR,0.2903225806451613,0.6774193548387096,0.0967741935483871,1,0,0,0.6461290322580644,1,0,RETRY_PAYMENT,0.9,0.581516129032258,1,0.0,299.0,139.0986580645161,173.87332258064515
cmtnymm0u00u43c6v2zw5ndzu,TXN-00000084,4999.0,INR,ABANDONED,BANK_DECLINE,CARD,3,549,True,15444.0,17,6,11,1,CARD,AT_RISK,0.6111111111111112,0.3333333333333333,0.05555555555555555,0,0,1,0.36611111111111105,1,0,SEND_WHATSAPP,1.05,0.38441666666666663,0,0.0,0.0,1317.7363999999998,1921.6989166666665
cmtnymnyk00uj3c6ve3syvpy9,TXN-00000099,1999.0,INR,FAILED,USER_ABANDONED,UPI,0,574,False,35150.0,28,19,9,5,CARD,REGULAR,0.3103448275862069,0.6551724137931034,0.1724137931034483,0,0,0,0.49000000000000005,0,0,RETRY_PAYMENT,0.9,0.44100000000000006,1,0.0,1999.0,705.2472,881.5590000000001
cmtnymobm00um3c6vvhr1hom8,TXN-00000102,3499.0,INR,FAILED,USER_ABANDONED,CARD,1,531,False,51085.0,19,17,2,1,CARD,HIGH_VALUE,0.1,0.85,0.05,1,0,0,0.6824999999999999,0,0,RETRY_PAYMENT,0.9,0.61425,1,0.0,3499.0,1719.4085999999995,2149.26075
cmtnympep00uu3c6v895wyuvv,TXN-00000110,1999.0,INR,FAILED,BANK_DECLINE,NETBANKING,3,457,False,64008.0,16,14,2,4,UPI,HIGH_VALUE,0.11764705882352941,0.8235294117647058,0.23529411764705882,1,0,1,0.5147058823529411,0,1,RETRY_PAYMENT,0.9,0.463235294117647,1,1999.0,1999.0,740.8058823529411,926.0073529411764
cmtnympmw00uv3c6vtgjrxtii,TXN-00000111,1499.0,INR,ABANDONED,NETWORK_ERROR,WALLET,0,403,True,25314.0,11,6,5,2,WALLET,NEW,0.4166666666666667,0.5,0.16666666666666666,0,0,0,0.6158333333333333,1,1,RETRY_PAYMENT,0.9,0.55425,1,1499.0,1499.0,664.6566,830.82075
cmtnympwm00ux3c6vgzmutvo9,TXN-00000113,14999.0,INR,FAILED,CARD_EXPIRED,CARD,0,287,False,40698.0,27,18,9,5,UPI,REGULAR,0.32142857142857145,0.6428571428571429,0.17857142857142858,0,1,0,0.3246428571428571,1,0,SEND_EMAIL,0.82,0.2662071428571428,0,0.0,0.0,3505.9091142857137,3992.840935714285
cmtnymqq700v13c6v8vw1yjdv,TXN-00000117,7999.0,INR,ABANDONED,NETWORK_ERROR,UPI,0,288,True,12912.0,5,4,1,1,CARD,HIGH_VALUE,0.16666666666666666,0.6666666666666666,0.16666666666666666,0,1,0,0.595,0,1,RETRY_PAYMENT,0.9,0.5355,1,7999.0,7999.0,3426.7715999999996,4283.4645
cmtnymrlg00v83c6vec5m8dgz,TXN-00000124,499.0,INR,ABANDONED,BANK_DECLINE,UPI,0,593,True,4992.0,22,8,14,4,NETBANKING,AT_RISK,0.6086956521739131,0.34782608695652173,0.17391304347826086,0,0,0,0.41826086956521735,0,1,SEND_WHATSAPP,1.05,0.43917391304347825,0,499.0,0.0,150.2727652173913,219.14778260869565
cmtnymse500vd3c6vawqcmxio,TXN-00000129,299.0,INR,FAILED,USER_ABANDONED,UPI,0,272,False,11459.0,18,7,11,0,CARD,AT_RISK,0.5789473684210527,0.3684210526315789,0.0,0,0,0,0.3952631578947368,1,0,RETRY_PAYMENT,0.9,0.35573684210526313,0,0.0,0.0,85.09225263157894,106.36531578947367
cmtnymsiv00ve3c6vbka5crww,TXN-00000130,9999.0,INR,ABANDONED,USER_ABANDONED,NETBANKING,3,362,True,26292.0,18,7,11,2,UPI,AT_RISK,0.5789473684210527,0.3684210526315789,0.10526315789473684,0,1,1,0.27473684210526317,0,0,SEND_WHATSAPP,1.05,0.2884736842105263,1,0.0,9999.0,1977.907452631579,2884.4483684210527
cmtnymt3w00vj3c6v0aaioeqo,TXN-00000135,9999.0,INR,ABANDONED,USER_ABANDONED,UPI,3,176,True,42658.0,28,11,17,3,UPI,AT_RISK,0.5862068965517241,0.3793103448275862,0.10344827586206896,0,1,1,0.336551724137931,1,0,SEND_WHATSAPP,1.05,0.35337931034482756,0,0.0,0.0,2422.930096551724,3533.4397241379306
cmtnymt7x00vk3c6vmers0s2c,TXN-00000136,1499.0,INR,FAILED,AUTHENTICATION_FAILED,UPI,0,584,False,15108.0,10,4,6,4,CARD,AT_RISK,0.5454545454545454,0.36363636363636365,0.36363636363636365,0,0,0,0.2627272727272727,0,0,PAYMENT_LINK,1.12,0.29425454545454544,0,0.0,0.0,283.5562909090909,441.0875636363636
cmtnymth000vm3c6v4gu3430s,TXN-00000138,4999.0,INR,ABANDONED,INSUFFICIENT_FUNDS,CARD,2,205,True,23408.0,12,7,5,4,CARD,NEW,0.38461538461538464,0.5384615384615384,0.3076923076923077,0,0,1,0.386153846153846,1,0,PAYMENT_LINK,1.12,0.43249230769230756,0,0.0,0.0,1389.875815384615,2162.0290461538457
cmtnymu2t00vr3c6vp0mrmyn7,TXN-00000143,7999.0,INR,FAILED,CARD_EXPIRED,WALLET,0,507,False,13844.0,6,4,2,0,CARD,REGULAR,0.2857142857142857,0.5714285714285714,0.0,0,1,0,0.32999999999999996,0,1,SEND_EMAIL,0.82,0.27059999999999995,0,7999.0,0.0,1900.5623999999996,2164.5293999999994
cmtnymuk600vv3c6vz8m18wp0,TXN-00000147,499.0,INR,ABANDONED,CARD_EXPIRED,UPI,3,349,True,74816.0,28,16,12,1,CARD,NEW,0.41379310344827586,0.5517241379310345,0.034482758620689655,1,0,1,0.3524137931034482,1,1,SEND_EMAIL,0.82,0.28897931034482754,0,499.0,0.0,126.61522758620688,144.20067586206895
cmtnymuo700vw3c6vm6ahal1h,TXN-00000148,4999.0,INR,ABANDONED,USER_ABANDONED,WALLET,0,66,True,8496.0,8,3,5,2,CARD,AT_RISK,0.5555555555555556,0.3333333333333333,0.2222222222222222,0,0,0,0.41777777777777775,0,0,SEND_WHATSAPP,1.05,0.43866666666666665,1,0.0,4999.0,1503.6991999999998,2192.8946666666666
cmtnymuwg00vy3c6vwvyyscai,TXN-00000150,1999.0,INR,FAILED,BANK_DECLINE,UPI,3,32,False,1428.0,7,2,5,5,UPI,AT_RISK,0.625,0.25,0.625,0,0,1,0.23625,0,0,RETRY_PAYMENT,0.9,0.21262499999999998,0,0.0,0.0,340.02989999999994,425.03737499999994
cmtnymv0800vz3c6vuzmki4mu,TXN-00000151,4999.0,INR,FAILED,INSUFFICIENT_FUNDS,UPI,0,532,False,58123.0,23,13,10,1,NETBANKING,NEW,0.4166666666666667,0.5416666666666666,0.041666666666666664,1,0,0,0.45874999999999994,1,1,PAYMENT_LINK,1.12,0.5137999999999999,1,4999.0,4999.0,1651.1696999999997,2568.4862
cmtnymvgj00w33c6vo6uocvhk,TXN-00000155,3499.0,INR,ABANDONED,TIMEOUT,CARD,1,233,True,49410.0,26,15,11,2,NETBANKING,NEW,0.4074074074074074,0.5555555555555556,0.07407407407407407,0,0,0,0.5503703703703704,0,0,RETRY_PAYMENT,0.9,0.49533333333333335,1,0.0,3499.0,1386.5370666666665,1733.1713333333335
cmtnymwys00wb3c6vft8zqhcl,TXN-00000163,1499.0,INR,ABANDONED,NETWORK_ERROR,CARD,2,347,True,16406.0,22,13,9,1,WALLET,NEW,0.391304347826087,0.5652173913043478,0.043478260869565216,0,0,1,0.5082608695652173,0,0,RETRY_PAYMENT,0.9,0.4574347826086956,1,0.0,1499.0,548.5557913043477,685.6947391304346
cmtnymx2q00wc3c6vvm145j42,TXN-00000164,2499.0,INR,FAILED,USER_ABANDONED,CARD,2,154,False,33839.0,19,13,6,3,UPI,REGULAR,0.3,0.65,0.15,0,0,1,0.4124999999999999,0,0,RETRY_PAYMENT,0.9,0.3712499999999999,1,0.0,2499.0,742.2029999999999,927.7537499999997
cmtnymxj200wg3c6vzw5ny2qj,TXN-00000168,24999.0,INR,ABANDONED,AUTHENTICATION_FAILED,WALLET,0,63,True,14061.0,5,3,2,3,WALLET,NEW,0.3333333333333333,0.5,0.5,0,1,0,0.38499999999999995,0,1,PAYMENT_LINK,1.12,0.43119999999999997,0,24999.0,0.0,6929.722799999999,10779.5688
cmtnymxzw00wk3c6v6s4d3k7s,TXN-00000172,999.0,INR,FAILED,INSUFFICIENT_FUNDS,WALLET,1,554,False,21762.0,27,18,9,4,UPI,REGULAR,0.32142857142857145,0.6428571428571429,0.14285714285714285,0,0,0,0.36821428571428566,0,0,PAYMENT_LINK,1.12,0.4124,0,0.0,0.0,264.8491714285714,411.9876
cmtnymy8p00wm3c6vlmz407fy,TXN-00000174,799.0,INR,FAILED,BANK_DECLINE,CARD,0,53,False,30239.0,19,11,8,1,WALLET,NEW,0.4,0.55,0.05,0,0,0,0.46249999999999997,0,0,RETRY_PAYMENT,0.9,0.41624999999999995,1,0.0,799.0,266.06699999999995,332.58374999999995
cmtnymz4l00wt3c6vhzkdk2yi,TXN-00000181,4999.0,INR,FAILED,BANK_DECLINE,WALLET,1,312,False,25029.0,23,9,14,1,CARD,AT_RISK,0.5833333333333334,0.375,0.041666666666666664,0,0,0,0.3520833333333333,1,0,RETRY_PAYMENT,0.9,0.31687499999999996,0,0.0,0.0,1267.2464999999997,1584.0581249999998
cmtnymzcz00wv3c6vtxyfybab,TXN-00000183,24999.0,INR,ABANDONED,NETWORK_ERROR,CARD,3,96,True,83685.0,24,21,3,1,NETBANKING,HIGH_VALUE,0.12,0.84,0.04,1,1,1,0.618,1,0,RETRY_PAYMENT,0.9,0.5562,0,0.0,0.0,11123.55504,13904.443800000001
cmtnyn00f00x03c6v5pxn919y,TXN-00000188,2499.0,INR,ABANDONED,INSUFFICIENT_FUNDS,WALLET,3,393,True,14100.0,12,10,2,5,UPI,HIGH_VALUE,0.15384615384615385,0.7692307692307693,0.38461538461538464,0,0,1,0.3707692307692307,1,0,PAYMENT_LINK,1.12,0.4152615384615384,0,0.0,0.0,667.1176615384614,1037.7385846153845
cmtnyn1ey00x73c6v262ma1jh,TXN-00000195,1999.0,INR,ABANDONED,TIMEOUT,NETBANKING,2,560,True,11740.0,13,5,8,2,WALLET,AT_RISK,0.5714285714285714,0.35714285714285715,0.14285714285714285,0,0,1,0.42928571428571427,1,0,RETRY_PAYMENT,0.9,0.38635714285714284,1,0.0,1999.0,617.8623428571427,772.3279285714285
cmtnyn1oj00x93c6vmyylflu3,TXN-00000197,3499.0,INR,ABANDONED,INSUFFICIENT_FUNDS,WALLET,2,511,True,49707.0,24,21,3,4,WALLET,HIGH_VALUE,0.12,0.84,0.16,0,0,1,0.5159999999999998,1,1,PAYMENT_LINK,1.12,0.5779199999999998,1,3499.0,3499.0,1299.9484799999996,2022.1420799999992
cmtnyn1xn00xb3c6vrhv83x5g,TXN-00000199,7999.0,INR,FAILED,CARD_EXPIRED,NETBANKING,3,95,False,10641.0,5,3,2,2,WALLET,NEW,0.3333333333333333,0.5,0.3333333333333333,0,1,1,0.15166666666666667,0,0,STOP,0.0,0.0,0,0.0,0.0,873.4908,0.0
cmtnyn21i00xc3c6v6qibtl37,TXN-00000200,1999.0,INR,ABANDONED,CARD_EXPIRED,UPI,1,600,True,6456.0,15,6,9,1,UPI,AT_RISK,0.5625,0.375,0.0625,0,0,0,0.343125,0,0,SEND_EMAIL,0.82,0.2813625,0,0.0,0.0,493.85294999999996,562.4436375
cmtnyn2dq00xf3c6v8l1dxa83,TXN-00000203,24999.0,INR,FAILED,NETWORK_ERROR,CARD,2,136,False,61243.0,23,13,10,4,CARD,NEW,0.4166666666666667,0.5416666666666666,0.16666666666666666,1,1,1,0.5362499999999999,1,0,RETRY_PAYMENT,0.9,0.4826249999999999,0,0.0,0.0,9652.113899999997,12065.142374999998
cmtnyn2hr00xg3c6v880vmgl5,TXN-00000204,2499.0,INR,FAILED,INSUFFICIENT_FUNDS,UPI,0,447,False,24132.0,20,12,8,1,NETBANKING,NEW,0.38095238095238093,0.5714285714285714,0.047619047619047616,0,0,0,0.39095238095238094,1,1,PAYMENT_LINK,1.12,0.4378666666666667,0,2499.0,0.0,703.4328,1094.2288
cmtnyn2mr00xh3c6vhh1krf5d,TXN-00000205,2499.0,INR,FAILED,NETWORK_ERROR,UPI,2,551,False,67680.0,28,16,12,3,UPI,NEW,0.41379310344827586,0.5517241379310345,0.10344827586206896,1,0,1,0.5855172413793104,1,1,RETRY_PAYMENT,0.9,0.5269655172413794,0,2499.0,0.0,1053.5094620689656,1316.8868275862071
cmtnyn2yw00xk3c6v27vjovnt,TXN-00000208,299.0,INR,FAILED,NETWORK_ERROR,WALLET,0,553,False,9030.0,9,3,6,4,UPI,AT_RISK,0.6,0.3,0.4,0,0,0,0.4049999999999999,1,0,RETRY_PAYMENT,0.9,0.36449999999999994,0,0.0,0.0,87.18839999999997,108.98549999999999
cmtnyn33300xl3c6v3tby0l8b,TXN-00000209,4999.0,INR,ABANDONED,NETWORK_ERROR,WALLET,0,248,True,49760.0,28,16,12,3,UPI,NEW,0.41379310344827586,0.5517241379310345,0.10344827586206896,0,0,0,0.5755172413793104,0,0,RETRY_PAYMENT,0.9,0.5179655172413794,0,0.0,0.0,2071.447696551724,2589.3096206896557
cmtnyn3eh00xn3c6v7kaq6w07,TXN-00000211,4999.0,INR,ABANDONED,BANK_DECLINE,CARD,1,413,True,8199.0,15,9,6,5,WALLET,NEW,0.375,0.5625,0.3125,0,0,0,0.45312499999999994,1,0,SEND_WHATSAPP,1.05,0.47578125,0,0.0,0.0,1630.9237499999997,2378.43046875
cmtnyn3mk00xp3c6v9eyot0bf,TXN-00000213,499.0,INR,ABANDONED,BANK_DECLINE,CARD,3,107,True,3786.0,11,6,5,2,NETBANKING,NEW,0.4166666666666667,0.5,0.16666666666666666,0,0,1,0.3658333333333333,0,0,SEND_WHATSAPP,1.05,0.384125,1,0.0,499.0,131.43659999999997,191.678375
cmtnyn4a900xt3c6vybreg96f,TXN-00000217,1999.0,INR,FAILED,CARD_EXPIRED,CARD,2,50,False,11070.0,7,6,1,3,CARD,HIGH_VALUE,0.125,0.75,0.375,0,0,1,0.38125,0,0,SEND_EMAIL,0.82,0.312625,1,0.0,1999.0,548.7254999999999,624.937375
cmtnyn4ru00xx3c6viik2eo43,TXN-00000221,14999.0,INR,FAILED,NETWORK_ERROR,NETBANKING,0,176,False,72760.0,29,20,9,0,NETBANKING,REGULAR,0.3,0.6666666666666666,0.0,1,1,0,0.6816666666666666,1,0,RETRY_PAYMENT,0.9,0.6135,1,0.0,14999.0,7361.5091999999995,9201.8865
cmtnyn4w400xy3c6v8j1exe13,TXN-00000222,4999.0,INR,FAILED,CARD_EXPIRED,NETBANKING,1,107,False,37485.0,19,17,2,0,WALLET,HIGH_VALUE,0.1,0.85,0.0,0,0,0,0.4275,1,0,SEND_EMAIL,0.82,0.35055,0,0.0,0.0,1538.6921999999997,1752.39945
cmtnyn51m00xz3c6v4pisfyf2,TXN-00000223,299.0,INR,ABANDONED,CARD_EXPIRED,WALLET,1,376,True,49198.0,25,17,8,4,NETBANKING,REGULAR,0.3076923076923077,0.6538461538461539,0.15384615384615385,0,0,0,0.38192307692307687,0,0,SEND_EMAIL,0.82,0.313176923076923,1,0.0,299.0,82.22039999999998,93.63989999999998
